0	1	1
1	1	2
1	2	3
2	3	5
3	5	8
5	8	13
8	13	21
13	21	34
21	34	55
34	55	89
55	89	144
89	144	233
144	233	377
233	377	610
377	610	987
610	987	1597
987	1597	2584
1597	2584	4181
2584	4181	6765
4181	6765	10946
6765	10946	17711
10946	17711	28657
17711	28657	46368
28657	46368	75025
46368	75025	121393
75025	121393	196418
121393	196418	317811
196418	317811	514229
317811	514229	832040
514229	832040	1346269
832040	1346269	2178309
1346269	2178309	3524578
2178309	3524578	5702887
3524578	5702887	9227465
5702887	9227465	14930352
9227465	14930352	24157817
14930352	24157817	39088169
24157817	39088169	63245986
39088169	63245986	102334155
63245986	102334155	165580141
102334155	165580141	267914296
165580141	267914296	433494437
267914296	433494437	701408733
433494437	701408733	1134903170.00000
701408733	1134903170.00000	1836311903.00000
1134903170.00000	1836311903.00000	2971215073.00000
1836311903.00000	2971215073.00000	4807526976.00000
2971215073.00000	4807526976.00000	7778742049.00000
4807526976.00000	7778742049.00000	12586269025.0000
7778742049.00000	12586269025.0000	20365011074.0000
12586269025.0000	20365011074.0000	32951280099.0000
